* ID=Minilog-II-T
* Serial Number=353785
* Study ID=Melrose 2017 - 15m
* Start Time=2017-06-28 19:00:00
* Finish Time=2017-10-18 03:00:00
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2017-07-23,21:00:00,8.03
2017-07-23,22:00:00,9.49
2017-07-23,23:00:00,10.5
2017-07-24,00:00:00,11.73
2017-07-24,01:00:00,11.63
2017-07-24,02:00:00,11.63
2017-07-24,03:00:00,10.08
2017-07-24,04:00:00,6.46
2017-07-24,05:00:00,7.96
2017-07-24,06:00:00,11.3
2017-07-24,07:00:00,12.52
2017-07-24,08:00:00,13.57
2017-07-24,09:00:00,13.53
2017-07-24,10:00:00,13.5
2017-07-24,11:00:00,12.93
2017-07-24,12:00:00,10.92
2017-07-24,13:00:00,7.22
2017-07-24,14:00:00,5.76
2017-07-24,15:00:00,5.69
2017-07-24,16:00:00,5.31
2017-07-24,17:00:00,5.45
2017-07-24,18:00:00,6.83
2017-07-24,19:00:00,8.98
2017-07-24,20:00:00,12.28
2017-07-24,21:00:00,12.52
2017-07-24,22:00:00,12.93
2017-07-24,23:00:00,13.07
2017-07-25,00:00:00,12.87
2017-07-25,01:00:00,12.66
2017-07-25,02:00:00,12.74
2017-07-25,03:00:00,12.56
2017-07-25,04:00:00,12.47
2017-07-25,05:00:00,12.5
2017-07-25,06:00:00,12.59
2017-07-25,07:00:00,12.55
2017-07-25,08:00:00,12.82
2017-07-25,09:00:00,12.83
2017-07-25,10:00:00,12.69
2017-07-25,11:00:00,12.95
2017-07-25,12:00:00,12.78
2017-07-25,13:00:00,12.77
2017-07-25,14:00:00,12.67
2017-07-25,15:00:00,12.7
2017-07-25,16:00:00,12.65
2017-07-25,17:00:00,12.74
2017-07-25,18:00:00,12.65
2017-07-25,19:00:00,12.45
2017-07-25,20:00:00,12.74
2017-07-25,21:00:00,12.23
2017-07-25,22:00:00,12.88
2017-07-25,23:00:00,12.83
2017-07-26,00:00:00,10.67
2017-07-26,01:00:00,10.04
2017-07-26,02:00:00,9.75
2017-07-26,03:00:00,8.18
2017-07-26,04:00:00,7.79
2017-07-26,05:00:00,7.07
2017-07-26,06:00:00,5.53
2017-07-26,07:00:00,9.93
2017-07-26,08:00:00,10.27
2017-07-26,09:00:00,10.1
2017-07-26,10:00:00,11.57
2017-07-26,11:00:00,11.78
2017-07-26,12:00:00,12.0
2017-07-26,13:00:00,12.49
2017-07-26,14:00:00,12.53
2017-07-26,15:00:00,11.95
2017-07-26,16:00:00,10.31
2017-07-26,17:00:00,9.39
2017-07-26,18:00:00,11.49
2017-07-26,19:00:00,9.44
2017-07-26,20:00:00,7.52
2017-07-26,21:00:00,10.88
2017-07-26,22:00:00,12.11
2017-07-26,23:00:00,13.04
2017-07-27,00:00:00,12.49
2017-07-27,01:00:00,11.36
2017-07-27,02:00:00,8.69
2017-07-27,03:00:00,6.74
2017-07-27,04:00:00,5.91
2017-07-27,05:00:00,5.29
2017-07-27,06:00:00,5.38
2017-07-27,07:00:00,4.87
2017-07-27,08:00:00,3.86
2017-07-27,09:00:00,4.63
2017-07-27,10:00:00,5.02
2017-07-27,11:00:00,6.42
2017-07-27,12:00:00,9.36
2017-07-27,13:00:00,11.49
2017-07-27,14:00:00,12.22
2017-07-27,15:00:00,12.46
2017-07-27,16:00:00,8.73
2017-07-27,17:00:00,6.4
2017-07-27,18:00:00,6.85
2017-07-27,19:00:00,6.05
2017-07-27,20:00:00,6.23
2017-07-27,21:00:00,6.75
2017-07-27,22:00:00,8.18
2017-07-27,23:00:00,9.04
2017-07-28,00:00:00,9.35
2017-07-28,01:00:00,9.32
2017-07-28,02:00:00,9.48
2017-07-28,03:00:00,9.47
2017-07-28,04:00:00,7.94
2017-07-28,05:00:00,7.64
2017-07-28,06:00:00,7.26
2017-07-28,07:00:00,7.14
2017-07-28,08:00:00,7.54
2017-07-28,09:00:00,7.88
2017-07-28,10:00:00,9.43
2017-07-28,11:00:00,10.88
2017-07-28,12:00:00,11.22
2017-07-28,13:00:00,11.57
2017-07-28,14:00:00,11.86
2017-07-28,15:00:00,12.15
2017-07-28,16:00:00,12.27
2017-07-28,17:00:00,12.53
2017-07-28,18:00:00,12.57
2017-07-28,19:00:00,12.71
2017-07-28,20:00:00,12.73
2017-07-28,21:00:00,12.75
2017-07-28,22:00:00,13.09
2017-07-28,23:00:00,13.04
2017-07-29,00:00:00,13.06
2017-07-29,01:00:00,13.1
2017-07-29,02:00:00,12.48
2017-07-29,03:00:00,11.67
2017-07-29,04:00:00,11.06
2017-07-29,05:00:00,11.11
2017-07-29,06:00:00,9.24
2017-07-29,07:00:00,9.05
2017-07-29,08:00:00,6.16
2017-07-29,09:00:00,6.95
2017-07-29,10:00:00,10.77
2017-07-29,11:00:00,11.68
2017-07-29,12:00:00,11.91
2017-07-29,13:00:00,12.39
2017-07-29,14:00:00,12.56
2017-07-29,15:00:00,12.59
2017-07-29,16:00:00,11.46
2017-07-29,17:00:00,10.97
2017-07-29,18:00:00,9.08
2017-07-29,19:00:00,7.76
2017-07-29,20:00:00,6.23
2017-07-29,21:00:00,4.84
2017-07-29,22:00:00,4.66
2017-07-29,23:00:00,4.86
2017-07-30,00:00:00,5.25
2017-07-30,01:00:00,5.91
2017-07-30,02:00:00,6.42
2017-07-30,03:00:00,6.79
2017-07-30,04:00:00,7.41
2017-07-30,05:00:00,6.5
2017-07-30,06:00:00,5.66
2017-07-30,07:00:00,4.96
2017-07-30,08:00:00,4.94
2017-07-30,09:00:00,4.85
2017-07-30,10:00:00,4.81
2017-07-30,11:00:00,5.56
2017-07-30,12:00:00,5.5
2017-07-30,13:00:00,6.79
2017-07-30,14:00:00,8.44
2017-07-30,15:00:00,9.47
2017-07-30,16:00:00,9.85
2017-07-30,17:00:00,10.96
2017-07-30,18:00:00,9.31
2017-07-30,19:00:00,8.55
2017-07-30,20:00:00,8.25
2017-07-30,21:00:00,8.29
2017-07-30,22:00:00,8.65
2017-07-30,23:00:00,8.77
2017-07-31,00:00:00,9.12
2017-07-31,01:00:00,9.6
2017-07-31,02:00:00,9.9
2017-07-31,03:00:00,10.4
2017-07-31,04:00:00,10.88
2017-07-31,05:00:00,10.74
2017-07-31,06:00:00,8.93
2017-07-31,07:00:00,9.22
2017-07-31,08:00:00,9.1
2017-07-31,09:00:00,8.95
2017-07-31,10:00:00,9.49
2017-07-31,11:00:00,11.46
2017-07-31,12:00:00,11.58
2017-07-31,13:00:00,12.4
2017-07-31,14:00:00,12.52
2017-07-31,15:00:00,12.75
2017-07-31,16:00:00,12.79
2017-07-31,17:00:00,12.81
