* ID=Minilog-II-T
* Serial Number=353783
* Study ID=Melrose 2018 (15m)
* Start Time=2018-06-15 14:27:52
* Finish Time=2018-10-10 11:27:52
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-07-17,20:27:52,6.51
2018-07-17,21:27:52,6.37
2018-07-17,22:27:52,5.77
2018-07-17,23:27:52,5.52
2018-07-18,00:27:52,5.12
2018-07-18,01:27:52,5.30
2018-07-18,02:27:52,5.15
2018-07-18,03:27:52,4.63
2018-07-18,04:27:52,4.24
2018-07-18,05:27:52,3.67
2018-07-18,06:27:52,3.70
2018-07-18,07:27:52,3.79
2018-07-18,08:27:52,3.37
2018-07-18,09:27:52,3.05
2018-07-18,10:27:52,2.85
2018-07-18,11:27:52,2.92
2018-07-18,12:27:52,3.04
2018-07-18,13:27:52,3.25
