* ID=Minilog-II-T
* Serial Number=350863
* Study ID=Winterton 2018
* Start Time=2018-05-23 10:22:30
* Finish Time=2018-10-12 15:22:30
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-05-18,03:22:30,2.99
2018-05-18,04:22:30,3.13
2018-05-18,05:22:30,3.18
2018-05-18,06:22:30,3.17
2018-05-18,07:22:30,3.20
2018-05-18,08:22:30,2.76
2018-05-18,09:22:30,2.64
2018-05-18,10:22:30,2.65
2018-05-18,11:22:30,2.64
2018-05-18,12:22:30,2.67
2018-05-18,13:22:30,2.70
2018-05-18,14:22:30,2.72
2018-05-18,15:22:30,2.75
2018-05-18,16:22:30,2.76
2018-05-18,17:22:30,2.77
2018-05-18,18:22:30,2.79
2018-05-18,19:22:30,2.78
2018-05-18,20:22:30,2.77
2018-05-18,21:22:30,3.38
2018-05-18,22:22:30,3.28
2018-05-18,23:22:30,3.15
2018-05-19,00:22:30,2.90
2018-05-19,01:22:30,2.89
2018-05-19,02:22:30,2.90
2018-05-19,03:22:30,2.79
2018-05-19,04:22:30,2.82
2018-05-19,05:22:30,2.89
2018-05-19,06:22:30,2.95
2018-05-19,07:22:30,2.94
2018-05-19,08:22:30,3.02
2018-05-19,09:22:30,3.04
2018-05-19,10:22:30,3.07
2018-05-19,11:22:30,3.08
2018-05-19,12:22:30,3.01
2018-05-19,13:22:30,2.95
2018-05-19,14:22:30,2.94
2018-05-19,15:22:30,2.89
2018-05-19,16:22:30,2.84
2018-05-19,17:22:30,2.91
2018-05-19,18:22:30,2.94
2018-05-19,19:22:30,3.03
2018-05-19,20:22:30,3.18
2018-05-19,21:22:30,3.20
2018-05-19,22:22:30,3.20
2018-05-19,23:22:30,3.19
2018-05-20,00:22:30,3.16
2018-05-20,01:22:30,3.20
2018-05-20,02:22:30,3.20
2018-05-20,03:22:30,3.23
2018-05-20,04:22:30,3.27
2018-05-20,05:22:30,3.29
2018-05-20,06:22:30,3.20
2018-05-20,07:22:30,3.17
2018-05-20,08:22:30,3.22
2018-05-20,09:22:30,3.26
2018-05-20,10:22:30,3.31
2018-05-20,11:22:30,3.34
2018-05-20,12:22:30,3.43
2018-05-20,13:22:30,3.49
2018-05-20,14:22:30,3.52
2018-05-20,15:22:30,3.53
2018-05-20,16:22:30,3.52
2018-05-20,17:22:30,3.48
2018-05-20,18:22:30,3.11
2018-05-20,19:22:30,2.92
2018-05-20,20:22:30,3.33
2018-05-20,21:22:30,3.42
2018-05-20,22:22:30,3.48
2018-05-20,23:22:30,3.55
2018-05-21,00:22:30,3.56
2018-05-21,01:22:30,3.55
2018-05-21,02:22:30,3.56
2018-05-21,03:22:30,3.58
2018-05-21,04:22:30,3.58
2018-05-21,05:22:30,3.57
2018-05-21,06:22:30,3.41
2018-05-21,07:22:30,3.39
2018-05-21,08:22:30,3.38
2018-05-21,09:22:30,3.39
2018-05-21,10:22:30,3.40
2018-05-21,11:22:30,3.43
2018-05-21,12:22:30,3.46
2018-05-21,13:22:30,3.52
2018-05-21,14:22:30,3.57
2018-05-21,15:22:30,3.62
2018-05-21,16:22:30,3.60
2018-05-21,17:22:30,3.53
2018-05-21,18:22:30,3.50
2018-05-21,19:22:30,3.42
2018-05-21,20:22:30,3.39
2018-05-21,21:22:30,3.37
2018-05-21,22:22:30,3.35
2018-05-21,23:22:30,3.35
2018-05-22,00:22:30,3.35
2018-05-22,01:22:30,3.36
2018-05-22,02:22:30,3.39
2018-05-22,03:22:30,3.36
2018-05-22,04:22:30,3.36
2018-05-22,05:22:30,3.36
2018-05-22,06:22:30,3.36
2018-05-22,07:22:30,3.46
2018-05-22,08:22:30,3.56
2018-05-22,09:22:30,3.42
2018-05-22,10:22:30,3.59
2018-05-22,11:22:30,3.63
2018-05-22,12:22:30,3.75
2018-05-22,13:22:30,3.80
2018-05-22,14:22:30,3.75
2018-05-22,15:22:30,3.81
2018-05-22,16:22:30,3.83
2018-05-22,17:22:30,3.81
2018-05-22,18:22:30,3.54
2018-05-22,19:22:30,3.11
2018-05-22,20:22:30,3.11
2018-05-22,21:22:30,2.92
2018-05-22,22:22:30,2.92
2018-05-22,23:22:30,3.21
2018-05-23,00:22:30,3.27
2018-05-23,01:22:30,3.47
2018-05-23,02:22:30,3.49
2018-05-23,03:22:30,3.50
2018-05-23,04:22:30,3.53
2018-05-23,05:22:30,3.57
2018-05-23,06:22:30,3.65
2018-05-23,07:22:30,3.77
2018-05-23,08:22:30,3.73
2018-05-23,09:22:30,3.70
2018-05-23,10:22:30,3.70
2018-05-23,11:22:30,3.72
2018-05-23,12:22:30,3.74
2018-05-23,13:22:30,3.74
2018-05-23,14:22:30,3.75
2018-05-23,15:22:30,3.77
2018-05-23,16:22:30,3.74
2018-05-23,17:22:30,3.71
2018-05-23,18:22:30,3.57
2018-05-23,19:22:30,3.41
2018-05-23,20:22:30,3.30
2018-05-23,21:22:30,3.29
2018-05-23,22:22:30,3.29
2018-05-23,23:22:30,3.38
2018-05-24,00:22:30,3.43
2018-05-24,01:22:30,3.50
2018-05-24,02:22:30,3.55
2018-05-24,03:22:30,3.56
2018-05-24,04:22:30,3.57
2018-05-24,05:22:30,3.58
2018-05-24,06:22:30,3.57
2018-05-24,07:22:30,3.36
2018-05-24,08:22:30,3.16
2018-05-24,09:22:30,3.07
2018-05-24,10:22:30,3.20
2018-05-24,11:22:30,3.22
2018-05-24,12:22:30,3.24
2018-05-24,13:22:30,3.56
2018-05-24,14:22:30,3.42
2018-05-24,15:22:30,3.54
2018-05-24,16:22:30,1.84
2018-05-24,17:22:30,1.57
2018-05-24,18:22:30,1.24
2018-05-24,19:22:30,-0.73
2018-05-24,20:22:30,-0.89
2018-05-24,21:22:30,-0.88
2018-05-24,22:22:30,-0.79
2018-05-24,23:22:30,-0.80
2018-05-25,00:22:30,-0.81
2018-05-25,01:22:30,-0.83
2018-05-25,02:22:30,-0.83
2018-05-25,03:22:30,-0.83
2018-05-25,04:22:30,-0.81
2018-05-25,05:22:30,-0.74
2018-05-25,06:22:30,-0.71
2018-05-25,07:22:30,-0.54
2018-05-25,08:22:30,-0.17
2018-05-25,09:22:30,0.22
2018-05-25,10:22:30,0.23
2018-05-25,11:22:30,0.37
2018-05-25,12:22:30,-0.62
2018-05-25,13:22:30,-0.77
2018-05-25,14:22:30,-0.83
2018-05-25,15:22:30,-0.80
2018-05-25,16:22:30,-0.58
2018-05-25,17:22:30,-0.66
2018-05-25,18:22:30,-0.14
2018-05-25,19:22:30,0.09
2018-05-25,20:22:30,1.22
2018-05-25,21:22:30,1.74
2018-05-25,22:22:30,1.96
2018-05-25,23:22:30,1.91
2018-05-26,00:22:30,1.95
2018-05-26,01:22:30,0.79
2018-05-26,02:22:30,0.43
2018-05-26,03:22:30,0.44
2018-05-26,04:22:30,0.35
2018-05-26,05:22:30,0.46
2018-05-26,06:22:30,0.41
2018-05-26,07:22:30,0.30
2018-05-26,08:22:30,0.38
2018-05-26,09:22:30,0.78
2018-05-26,10:22:30,1.18
2018-05-26,11:22:30,1.67
2018-05-26,12:22:30,1.86
2018-05-26,13:22:30,1.90
2018-05-26,14:22:30,2.09
2018-05-26,15:22:30,2.22
2018-05-26,16:22:30,2.26
2018-05-26,17:22:30,2.43
2018-05-26,18:22:30,2.32
2018-05-26,19:22:30,2.39
2018-05-26,20:22:30,2.42
2018-05-26,21:22:30,2.53
2018-05-26,22:22:30,2.49
2018-05-26,23:22:30,2.52
2018-05-27,00:22:30,2.55
2018-05-27,01:22:30,2.53
2018-05-27,02:22:30,2.55
2018-05-27,03:22:30,2.56
2018-05-27,04:22:30,2.54
2018-05-27,05:22:30,2.18
2018-05-27,06:22:30,2.05
2018-05-27,07:22:30,2.22
2018-05-27,08:22:30,2.34
2018-05-27,09:22:30,2.31
2018-05-27,10:22:30,2.36
2018-05-27,11:22:30,2.17
2018-05-27,12:22:30,2.11
2018-05-27,13:22:30,2.09
2018-05-27,14:22:30,2.12
2018-05-27,15:22:30,2.10
2018-05-27,16:22:30,1.47
2018-05-27,17:22:30,1.31
2018-05-27,18:22:30,1.33
2018-05-27,19:22:30,1.25
2018-05-27,20:22:30,1.43
2018-05-27,21:22:30,1.48
2018-05-27,22:22:30,1.46
2018-05-27,23:22:30,1.44
2018-05-28,00:22:30,1.52
2018-05-28,01:22:30,1.82
2018-05-28,02:22:30,1.96
2018-05-28,03:22:30,2.07
2018-05-28,04:22:30,1.96
2018-05-28,05:22:30,2.03
2018-05-28,06:22:30,2.03
2018-05-28,07:22:30,2.13
2018-05-28,08:22:30,2.18
2018-05-28,09:22:30,2.33
2018-05-28,10:22:30,2.41
2018-05-28,11:22:30,2.55
2018-05-28,12:22:30,2.36
2018-05-28,13:22:30,2.34
2018-05-28,14:22:30,2.36
2018-05-28,15:22:30,2.39
2018-05-28,16:22:30,2.82
2018-05-28,17:22:30,2.93
2018-05-28,18:22:30,3.17
2018-05-28,19:22:30,3.27
2018-05-28,20:22:30,3.25
2018-05-28,21:22:30,3.25
2018-05-28,22:22:30,3.32
2018-05-28,23:22:30,3.44
2018-05-29,00:22:30,3.39
2018-05-29,01:22:30,3.41
2018-05-29,02:22:30,3.43
2018-05-29,03:22:30,3.44
2018-05-29,04:22:30,3.45
2018-05-29,05:22:30,3.45
2018-05-29,06:22:30,3.46
2018-05-29,07:22:30,3.52
2018-05-29,08:22:30,3.52
2018-05-29,09:22:30,3.53
2018-05-29,10:22:30,3.54
2018-05-29,11:22:30,3.55
2018-05-29,12:22:30,3.57
